RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player?s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Jonas Valanciunas,Mem,C,27.48,4,19.3,40.2,25.5,14,11,0.909,29,0.483,9,0.333,0.487,0.549,11.8,9,23.3,1.8,15.6,0.5,0.75,1.75,11.9,104.7,95.4
,Denzel Valentine,Chi,G,25.95,1,4.6,9.6,35.4,0,0,0,2,0,2,0.5,0.375,0.375,3,1,10.5,0,0,0,0,0,0,90.6,120.3
,Fred VanVleet,Tor,G,25.68,4,38.9,80.9,20.6,15.6,18,0.944,30,0.367,27,0.407,0.482,0.555,18,4.8,5.8,6.3,26,1.5,0.25,3,8.4,108.3,96.8
,Noah Vonleh,Min,F,24.18,3,13.9,28.9,11.7,16.2,3,1,7,1,2,0,0.778,0.824,5.7,4,15.3,0.7,7,1,0,0.67,7.2,144.2,92.7
,Nikola Vucevic,Orl,C,29.02,3,30.1,62.8,25.7,5.5,9,0.889,36,0.389,12,0.167,0.354,0.404,14,10.7,17.2,2,11.9,0.67,0.33,1,8.9,90.7,93.9
,Moritz Wagner,Was,F-C,22.51,3,16.9,35.3,26.5,36.6,4,0.75,10,0.7,9,0.556,0.763,0.771,10.7,4.3,13,0.3,3.2,0,1.33,4,5.7,88,84
,Lonnie Walker IV,San,G-F,20.88,1,4.9,10.2,8.1,0,0,0,1,1,0,0,1,1,2,2,20.8,0,0,0,0,0,0,200,86.5
,Kemba Walker,Bos,G,29.48,3,33.6,70,26.6,7.4,12,0.833,31,0.419,26,0.385,0.491,0.53,22,4.7,6.5,2.7,13.6,1.33,0.67,1.67,7.8,111.2,98.5
,Derrick Walton Jr.,Lac,G,24.58,1,1.2,2.5,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,Brad Wanamaker,Bos,G,30.27,3,6.3,13.1,16.7,12.7,2,1,5,0.4,1,0,0.333,0.436,2,1.3,10,0.7,15.1,0.33,0.33,0.33,7.8,97.3,92.5
,T.J. Warren,Ind,F,26.15,3,36,74.9,21.7,7.4,2,0,40,0.475,9,0.111,0.418,0.411,13.7,2.7,4.2,0.3,1.4,1.67,0.33,1.33,2.5,79.4,107.9
,P.J. Washington,Cha,F,21.19,4,33.4,69.5,17.9,21.1,11,0.636,18,0.444,22,0.5,0.613,0.624,14,6.8,10.9,0.5,2.3,1.25,0.75,3,4.3,96.8,108.5
,Russell Westbrook,Hou,G,30.96,3,34,70.8,28.2,16.4,25,0.76,39,0.538,11,0.364,0.54,0.598,24.3,12.7,18.6,9.7,51.4,1.33,0.33,4,17,119.8,97.1
,Coby White,Chi,G,19.7,4,23.9,49.8,23.8,7.1,9,0.778,29,0.517,19,0.316,0.5,0.529,13.8,4.3,8.6,3.3,23.3,0.5,0,1,9.7,108.9,106.8
,Derrick White,San,G,25.33,3,22.5,46.8,17.6,6.7,11,0.727,20,0.65,3,0.667,0.696,0.718,13.3,2.7,6,2,12.7,0,0.33,0.67,7.4,142,97.5
,Hassan Whiteside,Por,C,30.38,4,25.5,53.2,18.8,23.8,12,0.833,30,0.7,0,0,0.7,0.737,13,12.3,25,1,5.9,0.25,1,2.75,8.5,120.4,90.6
,Andrew Wiggins,Min,F,24.68,3,34.8,72.4,25.7,7.4,11,0.727,41,0.512,17,0.235,0.466,0.493,20.7,6,9.2,0.7,3.1,0.33,0.33,1.67,5.1,101.9,100.8
,Robert Williams III,Bos,C-F,22.04,3,15.7,32.8,10.9,15.5,2,0.5,10,0.7,0,0,0.7,0.689,5,5.3,16,1.7,15.9,1.67,1,0.67,9.1,133.7,73.5
,Nigel Williams-Goss,Uta,G,25.12,2,2.6,5.4,8.6,0,0,0,0,0,1,0,0,0,0,0,0,0.5,26.4,0,0,0,0,,
,Grant Williams,Bos,F,20.92,3,16.1,33.5,13.5,6.1,3,0.333,10,0.5,4,0,0.357,0.359,3.7,3,8.8,1.7,14.6,1,1,0.33,6.6,100.8,91.7
,Kenrich Williams,Nor,G-F,24.91,4,24.6,51.2,11.6,6.9,9,0.556,10,0.5,13,0.385,0.543,0.556,7.5,5.8,11.6,2.3,11.1,1.5,0.75,0.5,7.5,125.2,105.7
,Lou Williams,Lac,G,33.01,4,30.9,64.4,28.9,12,33,0.848,39,0.513,20,0.35,0.517,0.605,22.3,3.5,6.4,5.3,25.1,0.75,0,2.5,9.6,119.9,112.2
,Marvin Williams,Cha,F,33.36,4,15.9,33.2,14.5,9.1,0,0,7,0.429,13,0.462,0.6,0.6,6,1.5,5.1,0.5,4.8,0.25,0,0.5,4.2,109.6,113.9
,D.J. Wilson,Mil,F-C,23.69,1,2.2,4.6,18.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
,Justise Winslow,Mia,G-F,23.59,4,37.6,78.4,21.9,17,17,0.588,51,0.392,10,0.3,0.402,0.431,14.8,8.5,12.3,5.8,23,1.25,0.75,3.5,9.6,91.6,94.1
,Christian Wood,Det,F,24.09,3,14.8,30.8,20.5,14.5,4,0.5,10,0.8,6,0.667,0.875,0.845,10,5.7,22.5,0,0,0,0.33,1,0,136.8,107.2
,Delon Wright,Dal,G,27.51,4,25.1,52.3,13.5,6.3,9,0.889,21,0.667,5,0.6,0.712,0.751,11.3,4,8.1,4.3,25.9,1.75,0,0.5,9.2,155,102.4
,Thaddeus Young,Chi,F,31.36,4,21.2,44.1,21.1,16,2,0.5,20,0.55,16,0.438,0.597,0.597,11,2.3,5.2,1.5,12,0.5,0.25,1.75,6.3,102.9,109.6
,Trae Young,Atl,G,21.11,4,29.7,61.9,36.8,19.5,26,0.808,43,0.512,28,0.5,0.606,0.649,26.8,5,9.1,7.3,47,1,0,5,13.4,112.3,103.7
,Cody Zeller,Cha,C,27.07,3,30.2,62.9,19.2,9.6,8,0.75,25,0.6,9,0.444,0.618,0.64,16,13,23.1,1,5.6,1,1,1.33,7.8,127.7,102.4
,Ivica Zubac,Lac,C,22.62,4,15.8,32.8,21.1,19.3,16,0.875,18,0.667,0,0,0.667,0.759,9.5,5.5,19.8,0.5,4.5,0,2,1.5,7.5,131.7,96.9
,Tyrone Wallace,Atl,G,25.39,1,14.5,30.2,13.7,0,6,0.667,2,0.5,0,0,0.5,0.647,6,3,11.2,2,18.3,1,0,0,9.1,158.9,94.3
,Jimmy Butler,Mia,F,30.13,1,30.7,64,28.1,18.5,15,0.667,9,0.444,2,0.5,0.5,0.597,21,5,8.9,2,10,3,0,4,7.7,110.7,98.9
,Dwight Powell,Dal,F-C,28.28,1,13.6,28.3,14.8,21,4,0.5,2,0.5,0,0,0.5,0.532,4,4,15,0,0,0,0,1,0,105.3,90.3
